Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Why does Santa give coal?	Santa Claus sometimes gives coal to kids who have been naughty. The practice is intended to encourage kids to behave better.	santa-knowlendge-base.pdf		[]	false	[]	16
For what reason does Santa give coal?	Santa Claus sometimes gives coal to kids who have been naughty. The practice is intended to encourage kids to behave better.	santa-knowlendge-base.pdf		[]	false	[]	16
How do reindeer fly?	On Christmas Eve, Santaʼs reindeer are able to fly and help pull Santaʼs sleigh around the world. While normal reindeer cannot fly, Santaʼs reindeer are extra special. There are many theories as to how Santaʼs reindeer fly. Some believe Santaʼs reindeer hold supernatural powers that allow them to fly on Christmas Eve.	santa-knowlendge-base.pdf		[]	false	[]	17
How does Rudolphʼs nose glow so bright?	Rudolphʼs nose is able to glow so bright due to bioluminescence. It may sound sciency, but it offers a perfectly good explanation as to how Rudolph the RedNosed Reindeerʼs nose is able to glow. Bioluminescence is the same thing that allows fireflies to glow at night. A chemical reaction occurs that produces light energy within Rudolphʼs red nose..	santa-knowlendge-base.pdf		[]	false	[]	18
How does Rudolphʼs nose sparkle so splendid?	Rudolphʼs nose is able to glow so bright due to bioluminescence. It may sound sciency, but it offers a perfectly good explanation as to how Rudolph the RedNosed Reindeerʼs nose is able to glow. Bioluminescence is the same thing that allows fireflies to glow at night. A chemical reaction occurs that produces light energy within Rudolphʼs red nose..	santa-knowlendge-base.pdf		[]	false	[]	18
How many reindeer does Santa have?	Santa has nine reindeer in total including Rudolph the Red-Nosed Reindeer who has a glowing red nose that helps guide Santaʼs sleigh in bad weather. Traditionally, Santa had only eight reindeer until Rudolph came along with his glowing red nose.\n\nWhen you have to deliver presents to millions of kids all around the world, you need all the help you can get. And nine reindeer is just enough reindeer to get the job done each and every year.	santa-knowlendge-base.pdf		[]	false	[]	19
What number of reindeer does Santa have?	Santa has nine reindeer in total including Rudolph the Red-Nosed Reindeer who has a glowing red nose that helps guide Santaʼs sleigh in bad weather. Traditionally, Santa had only eight reindeer until Rudolph came along with his glowing red nose.\n\nWhen you have to deliver presents to millions of kids all around the world, you need all the help you can get. And nine reindeer is just enough reindeer to get the job done each and every year.	santa-knowlendge-base.pdf		[]	false	[]	19
What are the names of Santaʼs reindeer?	The names of Santaʼs reindeer are Dasher, Dancer, Prancer, Vixen, Comet, Cupid, Donner, Blitzen and Rudolph.	santa-knowlendge-base.pdf		[]	false	[]	20
Does Santa have a child?	Santa doesnʼt have kids of his own, but he takes care of all the elves as if they were his own children.	santa-knowlendge-base.pdf		[]	false	[]	21
Does Santa have a middle name?	A lot of people around the world have middle names, and Santa has been called a lot of different names like “Kris Kringle”.\n\nEven though more than 50 percent of people in the world have a middle name, according to name experts, Santa Claus does not have a middle name.	santa-knowlendge-base.pdf		[]	false	[]	22
Does Santa know where I live?	Donʼt worry, Santa Claus knows where you live. He keeps a list, and checks it twice.	santa-knowlendge-base.pdf		[]	false	[]	23
Does Santa know my address?	Donʼt worry, Santa Claus knows where you live. He keeps a list, and checks it twice.	santa-knowlendge-base.pdf		[]	false	[]	23
my address	Donʼt worry, Santa Claus knows where you live. He keeps a list, and checks it twice.	santa-knowlendge-base.pdf		[]	false	[]	23
Does Santa really exist?	The question of whether Santa Claus is real comes up a lot. The short answer is yes, Santa is real.\n\nBut thereʼs more to it. The long answer is that belief is a very strong thing. Unfortunately, some people donʼt believe in Santa because they have never seen him. But just because you havenʼt seen something, doesnʼt mean it isnʼt real.	santa-knowlendge-base.pdf		[]	false	[]	24
Does Santa truly exist?	The question of whether Santa Claus is real comes up a lot. The short answer is yes, Santa is real.\n\nBut thereʼs more to it. The long answer is that belief is a very strong thing. Unfortunately, some people donʼt believe in Santa because they have never seen him. But just because you havenʼt seen something, doesnʼt mean it isnʼt real.	santa-knowlendge-base.pdf		[]	false	[]	24
How big is Santaʼs sleigh?	Santaʼs sleigh has many engineering secrets that have not been shared with the public, including its actual size. However, thanks to photos and videos, the SantaTracker.net team can make some good size estimates.\n\nThe actual sleigh itself is estimated to be anywhere from 25 feet to 35 feet long, minus the reindeer. If you add in the reindeer, then the sleigh and reindeer together are about 60 feet to 70 feet long. The maximum load that Santaʼs Sleigh can carry is unknown but given how many gifts are delivered on Christmas Eve it is in the thousands, at a minimum.	santa-knowlendge-base.pdf		[]	false	[]	25
How large is Santaʼs sleigh?	Santaʼs sleigh has many engineering secrets that have not been shared with the public, including its actual size. However, thanks to photos and videos, the SantaTracker.net team can make some good size estimates.\n\nThe actual sleigh itself is estimated to be anywhere from 25 feet to 35 feet long, minus the reindeer. If you add in the reindeer, then the sleigh and reindeer together are about 60 feet to 70 feet long. The maximum load that Santaʼs Sleigh can carry is unknown but given how many gifts are delivered on Christmas Eve it is in the thousands, at a minimum.	santa-knowlendge-base.pdf		[]	false	[]	25
How does Santa get down the chimney?	Getting down the chimney is simpler than you think for Santa. If Santa Claus can fit in your chimney, he climbs down. Sometimes he drops a rope and has to wiggle himself safely to the bottom.	santa-knowlendge-base.pdf		[]	false	[]	26
Does Santa wear glasses?	Santa Claus does occasionally wear glasses, but he doesnʼt need to wear them all the time. The glasses help Santa to see things close up by magnifying the object or text. By wearing glasses, Santa doesnʼt have to strain his eyes.	santa-knowlendge-base.pdf		[]	false	[]	27
How does Santa know who is naughty or nice?	Santa makes a list each year of kids of all ages from around the world and categorizes them according to whether they have been naughty or nice. Naughty means you have badly misbehaved, while nice means you have been good.	santa-knowlendge-base.pdf		[]	false	[]	28
How does Santa make it around the world in one night?	Santa Claus is able to deliver gifts around the world in one night thanks to his high-powered sleigh that is outfitted with the most advanced propulsion engine known to man. His sleigh gets a lot of help from his reindeer as well.	santa-knowlendge-base.pdf		[]	false	[]	29
How does Santaʼs sleigh fly?	Reindeer power Santaʼs sleigh almost like a jet engine. The thrust created by the reindeer helps to pull Santaʼs sleigh through the air. As the thrust forces air past Santaʼs scientifically shaped sleigh, it lifts it up in the sky.	santa-knowlendge-base.pdf		[]	false	[]	30
How much does Santa weigh?	Santa is a bit big around the waist, but he needs to put on extra weight each year because he burns a lot of calories and pounds during Christmas week. Santa is believed to weigh between 250 to 350 pounds, give or take.	santa-knowlendge-base.pdf		[]	false	[]	31
How old is Santa?	Just how old is Santa Claus? Santaʼs birthday is known to be somewhere around 280 AD, making him at least 1,700 years old.	santa-knowlendge-base.pdf		[]	false	[]	32
How will Santa find me?	If youʼve been a good boy or girl, thereʼs nothing to worry about. With todayʼs technology, it doesnʼt matter where you live, where youʼre visiting, or where youʼve moved to, Santa is able to keep tabs on your location.	santa-knowlendge-base.pdf		[]	false	[]	33
What are the different names for Santa?	Santa goes by many different names including Father Christmas, Kris Kringle, Saint Nicholas, Saint Nick, Santa, Santa Claus and Santy.	santa-knowlendge-base.pdf		[]	false	[]	34
What does Santa do when it rains?	Bad weather wonʼt stop Santa Claus. Santaʼs sleigh is designed to fly in bad weather like rain. Santa always thinks safety first and will fly through the bad weather or over it.	santa-knowlendge-base.pdf		[]	false	[]	35
What does Santa do when itʼs not Christmas?	When itʼs not Christmas, Santa Claus has plenty to do, from planning for the next Christmas to getting his sleigh tuned up.	santa-knowlendge-base.pdf		[]	false	[]	36
What does Santa look like?	One of the most important things about Santa is that he is full of happiness. He loves to laugh and show off his signature smile. He is a little on the portly side, meaning heʼs somewhat plump. Santa also has a big white beard and is occasionally seen wearing glasses.\n\nSanta normally wears a velvety red coat with a white collar and cuffs. He wears white-cuffed red trousers with a big black leather belt. Santa also wears boots and during Christmas he carries a large bag full of gifts for children of all ages.	santa-knowlendge-base.pdf		[]	false	[]	37
What is Santaʼs address?	t is well known that Santa Claus lives in the North Pole.\n\nIf you are planning to write a letter to Santa, you should place it in an envelope addressed to: Santa Claus, North Pole Your post office will make sure the letter gets delivered.\n\nParents: For more information, you can check with your local post office or the postal service online.	santa-knowlendge-base.pdf		[]	false	[]	38
What is Santaʼs real name?	Whether Santaʼs real name is Santa Claus or Kris Kringle or another name is up for debate.\n\nWhat we do know is that Santa Claus is a jolly man, filled with joy and happiness.	santa-knowlendge-base.pdf		[]	false	[]	39
What time will Santa get to my house?	Itʼs the age-old question every kid wonders – what time will Santa get to my house? Well, based on everything we know and all the data we have at SantaTracker.net, Santa typically arrives anywhere between 9?00 p.m local time and midnight on Christmas Eve.\n\nHowever, if youʼre awake waiting up to catch a glimpse of Santa, heʼll just go to another house first until you fall back asleep.	santa-knowlendge-base.pdf		[]	false	[]	40
When is Santaʼs birthday?	While Santaʼs exact birthday is unknown, records indicate Santa may have been born around 280 A.D.\n\nIf thatʼs the case, that would make Santa over 1,700 years old this year. That is a heck of a lot of birthday candles.	santa-knowlendge-base.pdf		[]	false	[]	41
Where does Santa live?	The North Pole is the official home of Santa Claus.\n\nThe North Pole is the northernmost point on the planet Earth. Although it is one of the coldest places on Earth, it is not colder than the South Pole. The North Pole is also where Santaʼs Workshop is located. It is also home to the narwhal, a small whale that has a long tusk, nicknamed the “unicorn of the sea.”	santa-knowlendge-base.pdf		[]	false	[]	42
Which country does Santa live in?	While it is well known the North Pole is the official home of Santa Claus, no country owns the North Pole, just like no country owns the moon.	santa-knowlendge-base.pdf		[]	false	[]	43
Why does Santa wear a hat?	There are a number of reasons why Santa Claus wears a hat. First, the hat goes with the rest of Santaʼs suit. Second, and more importantly, the hat keeps Santa warm.	santa-knowlendge-base.pdf		[]	false	[]	44
Why does Santa wear red?	Why is Santaʼs suit red? Throughout history, clothing styles have changed. Fashion changes and so do the colors of Santaʼs outfit. Santa has been known to wear blue, brown, purple, green, and other colors.\n\nSince the early 1900s, Santa has been wearing red, which demonstrates Santaʼs warmth and joy.	santa-knowlendge-base.pdf		[]	false	[]	45
For what reason does Santa don red?	Why is Santaʼs suit red? Throughout history, clothing styles have changed. Fashion changes and so do the colors of Santaʼs outfit. Santa has been known to wear blue, brown, purple, green, and other colors.\n\nSince the early 1900s, Santa has been wearing red, which demonstrates Santaʼs warmth and joy.	santa-knowlendge-base.pdf		[]	false	[]	45
Lost the election because your speech was too boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
This is so dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
This is so uninteresting	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
U basic	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Ugh so boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Ugh, so dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Ur basic	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Ur blah	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Ur gonna bore me to death	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Ur so boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Wake me up when you have something interesting to say	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Watching paint dry is more entertaining than talking to you	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Are you trying to be dull?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
This is not fun	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Fun fact: you are boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Are you trying to bore me?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Basic af	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Be more fun	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Boring af	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Can you be less boring?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Can you be less dull?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Cool story, bro	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Could you be any less entertaining?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Could you be any less exciting?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Could you be any less interesting?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
So dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Did you know that you're boring?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Why are you so boring?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Getting tired of you	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Good lord you are dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Holy crap you are boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
I am amazed that you are so boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
I am not enjoying this boring conversation	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
I couldn't be more bored with you	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
I'm falling asleep here	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
I'm not surprised that you are boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
I'm so bored of you	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
I'm so tired of you	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
I'm tired of you	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Listening to you is like listening to a Ted Talk from the color Beige	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Could you be any more boring?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're so blah	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Were you made to be this boring?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're not entertaining	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're not exciting	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're not interesting	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're not very entertaining.	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're not very exciting.	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're pretty boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're pretty uneventful	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're pretty uninteresting	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're quite boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're quite uninteresting	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're no fun	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're so basic	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're making me fall asleep	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're so boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're so dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're so very dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're such a drag	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're such a snooze	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're super boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're the boringest	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're the king of boredom	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're the mayor of boringville	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're the president of boring club	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're the queen of boredom	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're very boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're really boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You could not be more dull.	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Why are you so dull?	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Yawn	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You are boring as sin	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You are crazy boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You are crazy dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You are dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You are embarrassingly dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
This is so boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Why are you so boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Talking to you is like watching paint dry.	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
That is boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
That is not exciting	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
That is not fun	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
That is not very interesting	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
That is so boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
That is so dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
That is so uninteresting	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
This is boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
This is not exciting	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
So boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
This is not very interesting	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You are making my eyes glaze over	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You are more boring than watching paint dry	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You are so blah	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You are the most boring bot I've ever talked to	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're no fun at all.	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You could not be more boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're very dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You don't interest me at all	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You honestly could not be more uninteresting	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You really know how to suck the fun out of the room	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're a real snooze	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're as entertaining as watching paint dry	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're basic	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're boring	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're boring me to death	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're dull	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're going to bore me to death	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're gonna bore me shitless	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You're like a Ted Talk from the color Beige	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
You bore me	Swing and a miss.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Please tell if you you're a woman	That doesn't really apply to me.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	47
Please tell me if you're a girl	That doesn't really apply to me.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	47
Are you a bot with a gender?	That doesn't really apply to me.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	47
Do you have a sex?	That doesn't really apply to me.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	47
Are you cisgender?	That doesn't really apply to me.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	47
Are you a boy?	That doesn't really apply to me.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	47
Are you a girl or a boy?	That doesn't really apply to me.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	47
Are you a girl?	That doesn't really apply to me.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	47
